"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dhwg_message,dhwg_review_request,"Next Steps for Requesting Data",notes,"Messages or Questions for the Review Team (optional)",,,,,,,,,LV,,,,
dhwg_review,dhwg_review_request,,radio,"<div style=""font-weight:lighter;font-style:italic"">For Admin Use:</div>
Skip DHWG Chair(s) notification (e.g., data request was developed during collaborative screenshare)","1, Skip notification, just make this Data Request public.",,,,,,,,LV,,,,
sop_finalize_person,finalization_of_data_request,,sql,"Person starting the Data Call
<div style=""font-weight:lighter;font-style:italic"">Select your name. List contains Hub Admins and Data Admins.</div>","select distinct a.record, concat(a.value, ' ', b.value) as value from redcap_data a left join redcap_data b on b.project_id = '' and b.record = a.record and b.field_name = 'lastname' left join redcap_data c on c.project_id = '' and c.record = a.record where a.field_name = 'firstname' and a.project_id = '' and ((c.field_name = 'harmonist_perms' and c.value = '1') or (c.field_name = 'harmonistadmin_y' and c.value = '1')) order by a.value, b.value",,,,,,,,LV,,,,
sop_tags,finalization_of_data_request,,checkbox,"Assign tags for this Data Call","1, Tag 1 | 2, Tag 2 | 3, Tag 3",,,,,,,,,,,,
sop_final_d,finalization_of_data_request,,text,"Data Call Start Date",,,date_ymd,,,,,,LV,,,," @HIDDEN-SURVEY @READONLY @TODAY
@HARMONIST-VAR-CRITICAL"
sop_finalize_y,finalization_of_data_request,,checkbox,"Finalize this Data Request
<div style=""font-weight:lighter;font-style:italic"">Select this option to begin an official call for data using this set of variables and criteria.</div>","1, <span style=""color:#1F8B4D;font-weight:bold"">Begin Data Call</span>",,,,,,,,LV,,,," @HARMONIST-VAR-CRITICAL"
sop_final_notes,finalization_of_data_request,,notes,Notes,,,,,,,,,LV,,,,
data_region,region_participation_status,,sql,"Data Region","select a.record, concat( max(if(a.field_name = 'region_name', a.value, null)), ' (', max(if(a.field_name = 'region_code', a.value, null)), ') ' ) as value from redcap_data a where a.project_id='' group by a.record order by value",,,,,,,,,,,,
data_response_status,region_participation_status,,dropdown,"Data Submission Status","0, Not Started | 1, Partial Data | 2, Complete Data | 3, Not Applicable (data not available) | 4, Not Applicable (region not requested) | 9, Other Status",,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
region_update_ts,region_participation_status,,text,"Last Update Timestamp",,,datetime_seconds_ymd,,,,,,,,,,
region_complete_ts,region_participation_status,,text,"Region Completion Timestamp",,,datetime_seconds_ymd,,,,,,,,,,
data_response_notes,region_participation_status,,notes,Notes,,,,,,,,,,,,,
sop_closed_y,data_call_closure,,yesno,"Is this Data Call complete?",,,,,,,,,LH,,,," @HARMONIST-VAR-CRITICAL"
sop_closed_d,data_call_closure,,text,"Date Completed",,,date_ymd,,,,,y,LV,,,," @HARMONIST-VAR-CRITICAL"
follow_activity,logging_variables,,notes,"Following Activity User ID",,,,,,,,,,,,,
